anchor,positive
"Which one of the following sequences when stored in an array at locations A[1], ..., A[10] forms a max-heap?",CS - Programming and Data Structures: Heaps - Max-Heap Property
"Let SLLdel be a function that deletes a node in a singly-linked list given a pointer to the node and a pointer to the head of the list. Similarly, let DLLdel be another function that deletes a node in a doubly-linked list given a pointer to the node and a pointer to the head of the list.
Let n denote the number of nodes in each of the linked lists. Which one of the following choices is TRUE about the worst-case time complexity of SLLdel and DLLdel?",CS - Programming and Data Structures: Linked Lists - Deletion Complexity (Singly vs. Doubly)
"Consider the Deterministic Finite-state Automaton (DFA) A shown below. The DFA runs on the alphabet {0, 1}, and has the set of states {s, p, q, r}, with s being the start state and p being the only final state.
[Image of a 4-state DFA]
Which one of the following regular expressions correctly describes the language accepted by A?",CS - Theory of Computation: Finite Automata and Regular Languages - DFA to Regular Expression Conversion
"The Lucas sequence Lₙ is defined by the recurrence relation:
Lₙ = Lₙ₋₁ + Lₙ₋₂, for n ≥ 3,
with L₁ = 1 and L₂ = 3.
Which one of the options given is TRUE?",CS - Engineering Mathematics: Discrete Mathematics - Recurrence Relations
Which one of the options given below refers to the degree (or arity) of a relation in relational database systems?,CS - Databases: Relational Model - Terminology (Degree/Arity)
"Suppose two hosts are connected by a point-to-point link and they are configured to use Stop-and-Wait protocol for reliable data transfer. Identify in which one of the following scenarios, the utilization of the link is the lowest.",CS - Computer Networks: Data Link Layer - Stop-and-Wait Protocol Utilization
"Let A = [[1,2,3,4], [4,1,2,3], [3,4,1,2], [2,3,4,1]] and B = [[3,4,1,2], [4,1,2,3], [1,2,3,4], [2,3,4,1]].
Let det(A) and det(B) denote the determinants of the matrices A and B, respectively.
Which one of the options given below is TRUE?",CS - Engineering Mathematics: Linear Algebra - Properties of Determinants
"Consider the following definition of a lexical token id for an identifier in a programming language, using extended regular expressions:
letter → [A-Za-z]
digit → [0-9]
id → letter (letter | digit)*
Which one of the following Non-deterministic Finite-state Automata with ε-transitions accepts the set of valid identifiers? (A double-circle denotes a final state)",CS - Theory of Computation: Finite Automata and Regular Languages - Regular Expression to NFA Conversion
"An algorithm has to store several keys generated by an adversary in a hash table. The adversary is malicious who tries to maximize the number of collisions. Let k be the number of keys, m be the number of slots in the hash table, and k > m.
Which one of the following is the best hashing strategy to counteract the adversary?",CS - Algorithms: Hashing - Universal Hashing
"The output of a 2-input multiplexer is connected back to one of its inputs as shown in the figure.
[Image of a 2-to-1 MUX with output Q connected to input 0. Input 1 is I, and select line is S.]
Match the functional equivalence of this circuit to one of the following options.",CS - Digital Logic: Sequential Circuits - Latches and Flip-Flops
Which one or more of the following need to be saved on a context switch from one thread (T1) of a process to another thread (T2) of the same process?,CS - Operating Systems: Threads - Thread Context Switching
Which one or more of the following options guarantee that a computer system will transition from user mode to kernel mode?,CS - Operating Systems: System Calls and Interrupts - Mode Transition
Which of the following statements is/are CORRECT?,CS - Theory of Computation: Formal Languages - Closure Properties
Which of the following statements is/are INCORRECT about the OSPF (Open Shortest Path First) routing protocol used in the Internet?,CS - Computer Networks: Routing Algorithms - OSPF Properties
"Geetha has a conjecture about integers, which is of the form ∀x(P(x) ⇒ ∃yQ(x,y)), where P is a statement about integers, and Q is a statement about pairs of integers. Which of the following (one or more) option(s) would imply Geetha's conjecture?",CS - Engineering Mathematics: Discrete Mathematics - Predicate Logic
Which one or more of the following CPU scheduling algorithms can potentially cause starvation?,CS - Operating Systems: CPU Scheduling - Starvation
Let f(x) = x³ + 15x² - 33x - 36 be a real-valued function. Which of the following statements is/are TRUE?,CS - Engineering Mathematics: Calculus - Maxima and Minima
Let f and g be functions of natural numbers given by f(n) = n and g(n) = n². Which of the following statements is/are TRUE?,CS - Algorithms: Asymptotic Analysis - Asymptotic Notations
"Let A be the adjacency matrix of the graph with vertices {1, 2, 3, 4, 5}.
[Image of a graph with 5 vertices. Vertices 3 and 4 have self-loops.]
Let λ₁, λ₂, λ₃, λ₄, and λ₅ be the five eigenvalues of A. Note that these eigenvalues need not be distinct. The value of λ₁ + λ₂ + λ₃ + λ₄ + λ₅ = __________.",CS - Engineering Mathematics: Linear Algebra - Eigenvalues and Trace
"The value of the definite integral ∫[-3 to 3] ∫[-2 to 2] ∫[-1 to 1] (4x²y - z³) dz dy dx is __________.
(Rounded off to the nearest integer)",CS - Engineering Mathematics: Calculus - Multiple Integrals
A particular number is written as 132 in radix-4 representation. The same number in radix-5 representation is __________.,CS - Digital Logic: Data Representation - Radix Conversion
"The sum of the following infinite series is
2 + 1/2 + 1/3 + 1/4 + 1/8 + 1/9 + 1/16 + 1/27 + ⋯",GA - Quantitative Aptitude: Sequences and Series - Geometric Series
Which of the following fields of an IP header is/are always modified by any router before it forwards the IP packet?,CS - Computer Networks: Network Layer - IP Header
"A keyboard connected to a computer is used at a rate of 1 keystroke per second. The computer system polls the keyboard every 10 ms (milli seconds) to check for a keystroke and consumes 100 μs (micro seconds) for each poll. If it is determined after polling that a key has been pressed, the system consumes an additional 200 μs to process the keystroke. Let T₁ denote the fraction of a second spent in polling and processing a keystroke.
In an alternative implementation, the system uses interrupts instead of polling. An interrupt is raised for every keystroke. It takes a total of 1 ms for servicing an interrupt and processing a keystroke. Let T₂ denote the fraction of a second spent in servicing the interrupt and processing a keystroke.
The ratio T₁/T₂ is __________.
(Rounded off to one decimal place)",CS - Computer Organization and Architecture: Input/Output (I/O) Systems - Polling vs. Interrupts
"The integer value printed by the ANSI-C program given below is __________.
#include<stdio.h>
int funcp(){
  static int x = 1;
  x++;
  return x;
}
int main(){
  int x,y;
  x = funcp();
  y = funcp()+x;
  printf(""%d\n"", (x+y));
  return 0;
}",CS - Programming and Data Structures: Programming in C - Static Variables and Scope
"Consider the following program:
[C-like code for main, f1, f2, f3 functions with recursion and function calls]
Which one of the following options represents the activation tree corresponding to the main function?",CS - Compiler Design: Runtime Environments - Activation Trees
"Consider the control flow graph shown.
[Image of a CFG with blocks B1, B2, B3, B4]
Which one of the following choices correctly lists the set of live variables at the exit point of each basic block?",CS - Compiler Design: Code Optimization - Liveness Analysis
"Consider the two functions incr and decr shown below.
[Code for incr() and decr() using a semaphore s]
There are 5 threads each invoking incr once, and 3 threads each invoking decr once, on the same shared variable X. The initial value of X is 10. Suppose there are two implementations of the semaphore s, as follows:
I-1: s is a binary semaphore initialized to 1.
I-2: s is a counting semaphore initialized to 2.
Let V1, V2 be the values of X at the end of execution of all the threads with implementations I-1, I-2, respectively. Which one of the following choices corresponds to the minimum possible values of V1, V2, respectively?",CS - Operating Systems: Process Synchronization - Semaphores
"Consider the context-free grammar G below
S → aSb | X
X → aX | Xb | a | b,
where S and X are non-terminals, and a and b are terminal symbols. The starting non-terminal is S.
Which one of the following statements is CORRECT?",CS - Theory of Computation: Context-Free Languages - Language Generated by a Grammar
"Consider the pushdown automaton (PDA) P below, which runs on the input alphabet {a,b}, has stack alphabet {⊥, A}, and has three states {s,p,q}, with s being the start state. The PDA accepts by empty stack.
[Image of a 3-state PDA]
Which one of the following options correctly describes the language accepted by P?",CS - Theory of Computation: Context-Free Languages - Pushdown Automata
